mid,formula,nsites,pred_log_sigma
mp:11137,Li3ClO,5,-1.6935572624206543
mp:16271,Li10Zn(PS4)4,62,-2.2414939403533936
mp:16272,Li10Zn(PS4)4,62,-2.3904366493225098
mp:16274,Li10Zn(PS4)4,62,-2.447817802429199
mp:16628,Li8TiS6,30,-2.568528413772583
mp:16225,Li10Sn(PS6)2,50,-2.5858922004699707
mp:16254,Li10Sn(PSe6)2,50,-2.6005609035491943
mp:16212,Li10Zn(PS4)4,62,-2.6153111457824707
mp:16630,Li8BiS6,30,-2.627377986907959
mp:16629,Li8CrS6,30,-2.638357639312744
mp:6907,Li2Cu3F11,32,-2.641496419906616
mp:3740,Rb2LiYbCl6,10,-2.6595170497894287
mp:16638,Li8SbS6,30,-2.670684337615967
mp:3687,Na2LiTmCl6,10,-2.736095428466797
mp:15135,Li6PS5I,26,-2.761561155319214
mp:16250,Li10Ge(PS6)2,50,-2.7928295135498047
mp:15530,Li7NbS6,28,-2.796200752258301
mp:3614,K2LiLaCl6,10,-2.7980709075927734
mp:11098,Li3Fe4F19,52,-2.8165857791900635
mp:3688,Na2LiLuCl6,10,-2.8461031913757324
mp:16273,Li10Zn(PS4)4,62,-2.862513542175293
mp:3738,LiSc(TlCl3)2,10,-2.870826005935669
mp:3606,K2LiLuCl6,10,-2.8723700046539307
mp:9043,LiMg30CoO32,64,-2.893932342529297
mp:5893,LiPr2Ta2Cl2O7,14,-2.925994634628296
mp:6919,Li2BeCl4,28,-2.938143491744995
mp:9984,Na3LiMgCl6,33,-2.9457573890686035
mp:855,LiTiS2,4,-2.9525351524353027
mp:9044,LiMg30CoO32,64,-2.9637444019317627
mp:2222,LiCuF4,24,-2.965179920196533
mp:16213,Li10Zn(PS4)4,62,-2.9674453735351562
mp:686,LiWCl6,32,-2.9691426753997803
mp:6498,Li2NdAs2,5,-2.9697470664978027
mp:609,LiFe2F7,40,-2.9822213649749756
mp:5524,LiSc2Al2(CO)2,9,-2.9837071895599365
mp:1863,LiCu3F10,28,-3.0068411827087402
mp:5232,Ba2LiLaIrO6,11,-3.011643409729004
mp:3635,K2LiAuCl6,10,-3.0251317024230957
mp:1148,LiFeF4,36,-3.028399705886841
mp:3704,Na2LiNdCl6,10,-3.0322084426879883
mp:15508,Li7PS6,56,-3.0339131355285645
mp:6920,Li2ZnCl4,28,-3.042463541030884
mp:6814,Li2Cu2F7,22,-3.0482168197631836
mp:6859,Li2(BH)11,24,-3.0560011863708496
mp:10866,Li3Ti6O13,22,-3.0588266849517822
mp:3544,Rb2LiCeCl6,10,-3.0608935356140137
mp:6507,Li2Mg3Cl8,39,-3.065223217010498
mp:3715,Na2LiCeCl6,10,-3.072941303253174
mp:1106,LiCuF3,20,-3.0866036415100098
mp:1922,LiCuF4,24,-3.0878167152404785
mp:5464,Ba2LiLaIrO6,11,-3.095052719116211
mp:2825,LiMgCoF6,18,-3.0970492362976074
mp:3725,Rb2LiErCl6,10,-3.0979182720184326
mp:3736,LiY(TlCl3)2,40,-3.101621150970459
mp:6574,Li2Cu2F7,22,-3.109220266342163
mp:3718,Rb2LiTmCl6,10,-3.119772434234619
mp:6287,Li2AgF6,18,-3.1269001960754395
mp:3705,Na2LiPrCl6,10,-3.1318955421447754
mp:3710,Na2LiLaCl6,10,-3.137930154800415
mp:10818,Li3VS4,64,-3.141357898712158
mp:15089,Li6PS5Cl,13,-3.144692897796631
mp:12096,Li4CuF7,24,-3.153538703918457
mp:5413,LiY4Ti4(S2O5)2,23,-3.1589441299438477
mp:6121,Li2S,33,-3.165444850921631
mp:796,LiMn2F6,27,-3.1660146713256836
mp:3681,Cs2LiInF6,10,-3.1705496311187744
mp:6127,Li2Pt,3,-3.1779589653015137
mp:6114,Li2S,33,-3.181185483932495
mp:329,Li(TiS2)2,7,-3.184359073638916
mp:3658,K2LiScCl6,10,-3.1876039505004883
mp:2,Li,2,-3.1978893280029297
mp:11787,Li3Ni8(OF3)4,27,-3.197976589202881
mp:9208,LiTi2(PO4)3,72,-3.2014150619506836
mp:6499,Li2CeAs2,5,-3.2047905921936035
mp:9470,LiTiP2O7,44,-3.204883575439453
mp:5894,LiPr2Ta2Cl2O7,14,-3.205528736114502
mp:10468,Li2Ti4Co(PO5)4,31,-3.2110257148742676
mp:12021,NaLi3Ti2Al2(PO4)6,38,-3.212790012359619
mp:12119,Li4Ti15O32,51,-3.215867042541504
mp:9029,LiMg14CoO16,32,-3.217043399810791
mp:1705,LiCu2F7,80,-3.218661308288574
mp:5306,LiTi2P4H3O16,26,-3.2192015647888184
mp:11866,Li3Ti2(PO4)3,80,-3.2198004722595215
mp:2543,LiTiP2O7,44,-3.2252230644226074
mp:1250,LiBe2Pt,4,-3.227766990661621
mp:282,LiAsSe2,8,-3.2300705909729004
mp:6182,Li2Cu3F11,64,-3.2338132858276367
mp:3679,Cs2LiScCl6,10,-3.2436580657958984
mp:5195,LiAu4Se4(ClO3)4,25,-3.2436771392822266
mp:5237,Sr4LiSm2Ta2O12,21,-3.2456111907958984
mp:9716,LiTi(PO3)4,36,-3.250011920928955
mp:491,LiCu2F5,64,-3.2501401901245117
mp:11879,Li3Ti2(PO4)3,80,-3.251634120941162
mp:5415,Sr4LiCu(CO5)2,18,-3.254415512084961
mp:16631,Li8NbS6,30,-3.255593776702881
mp:496,LiCu2F6,18,-3.2574448585510254
mp:9369,LiTi(PO3)4,72,-3.2578907012939453
mp:1161,LiAgF6,32,-3.260312557220459
mp:1541,LiY2Pt,4,-3.262042999267578
mp:3436,LiLa20Cu9O40,70,-3.2645092010498047
